1	merkazit_krayot	1	-1.#IND	1.#INF	1.00006	0	0.0166667	-1.#IND	-1.#IND	1	0	0	0	-1.#IND	89.9983	-1.#IND	0	
128	yehiam	33	-0	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-0	-0	-1.#IND	-1.#IND	-1.#IND	0	0	0	0	-1.#IND	
129	mahal_sold	33	-0	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-0	-0	-1.#IND	-1.#IND	-1.#IND	0	0	0	0	-1.#IND	
130	zabutinski	33	-0	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-0	-0	-1.#IND	-1.#IND	-1.#IND	0	0	0	0	-1.#IND	
131	kiryat_shmuel	33	-0	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-0	-0	-1.#IND	-1.#IND	-1.#IND	0	0	0	0	-1.#IND	
132	tzahal	33	-0	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-0	-0	-1.#IND	-1.#IND	-1.#IND	0	0	0	0	-1.#IND	
133	abir_yaakov	33	-0	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-0	-0	-1.#IND	-1.#IND	-1.#IND	0	0	0	0	-1.#IND	
134	hapalmah	33	-0	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-0	-0	-1.#IND	-1.#IND	-1.#IND	0	0	0	0	-1.#IND	
135	golda_meir	33	-0	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-0	-0	-1.#IND	-1.#IND	-1.#IND	0	0	0	0	-1.#IND	
136	savionei_yam	33	-0	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-0	-0	-1.#IND	-1.#IND	-1.#IND	0	0	0	0	-1.#IND	
137	ilanot	33	-0	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-0	-0	-1.#IND	-1.#IND	-1.#IND	0	0	0	0	-1.#IND	
138	rafael	33	-0	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-0	-0	-1.#IND	-1.#IND	-1.#IND	0	0	0	0	-1.#IND	
139	merkazit_krayot	11	-0	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-0	-0	-1.#IND	-1.#IND	-1.#IND	0	0	0	0	-1.#IND	
139	merkazit_krayot	33	-0	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-0	-0	-1.#IND	-1.#IND	-1.#IND	0	0	0	0	-1.#IND	
140	haamakim	22	-0	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-0	-0	-1.#IND	-1.#IND	-1.#IND	0	0	0	0	-1.#IND	
144	biyalik	22	-0	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-0	-0	-1.#IND	-1.#IND	-1.#IND	0	0	0	0	-1.#IND	
145	haatzmaut	22	-0	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-0	-0	-1.#IND	-1.#IND	-1.#IND	0	0	0	0	-1.#IND	
147	rabin	22	-0	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-0	-0	-1.#IND	-1.#IND	-1.#IND	0	0	0	0	-1.#IND	
148	yoseftal	22	-0	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-0	-0	-1.#IND	-1.#IND	-1.#IND	0	0	0	0	-1.#IND	
149	ainshtein	22	-0	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-0	-0	-1.#IND	-1.#IND	-1.#IND	0	0	0	0	-1.#IND	
150	moshe_hes	22	-0	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-0	-0	-1.#IND	-1.#IND	-1.#IND	0	0	0	0	-1.#IND	
151	kiryat_ata	22	-0	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-0	-0	-1.#IND	-1.#IND	-1.#IND	0	0	0	0	-1.#IND	
152	hahagana_yoav	1	179.422	5.25842	35565.3	0	0	28.4357	0.295224	0	1	0	0	0	0	0	0	
154	saharof	1	180.239	5.25842	54662.5	0	0	35.5674	0.295224	0	1	0	0	0	0	0	0	
155	saharof	11	180.029	5.21123	56.9328	0	0	1.19556	0.341289	1	0	0	0	0	0	0	0	
157	hahagana_yoav	11	180.021	5.21123	4247.2	0	0	44.6246	0.341289	0	1	0	0	0	0	0	0	
158	hashaish	3	-0	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-0	-0	-1.#IND	-1.#IND	-1.#IND	0	0	0	0	-1.#IND	
